*_*********꧁鑫҉磊҉直҉播҉源꧂*********_*
______      _               _  _          
| ___ \    | |             | || |         
| |_/ /___ | |_  _ __  ___ | || |_ __   __
|  __// _ \| __|| '__|/ _ \| || __|\ \ / /
| |  |  __/| |_ | |  |  __/| || |_  \ V / 
\_|   \___| \__||_|   \___||_| \__|  \_/  
//免费软件꙰严禁商业꙰仅供测试꙰违者自负!꙰//
//如果你抓包了获取到了直播源,请自用,别公开,谢谢！//

--綫路壹4GTV--
🌏綜合其他,#genre#
台灣戲劇台,http://nmk.ioapk.com:5050/litv-longturn22/index.m3u8?proxy=true
金光布袋戲,http://nmk.ioapk.com:5050/4gtv-live144/index.m3u8?proxy=true
霹靂布袋戲,http://nmk.ioapk.com:5050/4gtv-live145/index.m3u8?proxy=true
戲劇免費看 1台,http://nmk.ioapk.com:5050/4gtv-live010/index.m3u8?proxy=true
影迷數位電影台,http://nmk.ioapk.com:5050/4gtv-4gtv011/index.m3u8?proxy=true
影迷數位電影台,http://nmk.ioapk.com:5050/li-4gtv-4gtv011/index.m3u8?proxy=true
AMC電影台,http://nmk.ioapk.com:5050/4gtv-4gtv017/index.m3u8?proxy=true
AMC電影台,http://nmk.ioapk.com:5050/li-4gtv-4gtv017/index.m3u8?proxy=true
HITS電影台,http://nmk.ioapk.com:5050/4gtv-live620/index.m3u8?proxy=true
TVBS台劇台,http://nmk.ioapk.com:5050/4gtv-live088/index.m3u8?proxy=true
CinemaWorld,http://nmk.ioapk.com:5050/4gtv-live069/index.m3u8?proxy=true
ROCK Action,http://nmk.ioapk.com:5050/4gtv-live138/index.m3u8?proxy=true
ROCK Entertainment,http://nmk.ioapk.com:5050/4gtv-live080/index.m3u8?proxy=true
My Cinema Europe HD 我的歐洲電影,http://nmk.ioapk.com:5050/4gtv-live157/index.m3u8?proxy=true

📻音樂綜藝,#genre#
民視綜藝台,http://nmk.ioapk.com:5050/4gtv-4gtv004/index.m3u8?proxy=true
民視綜藝台,http://nmk.ioapk.com:5050/li-4gtv-4gtv004/index.m3u8?proxy=true
八大綜藝台,http://nmk.ioapk.com:5050/4gtv-4gtv039/index.m3u8?proxy=true
八大綜藝台,http://nmk.ioapk.com:5050/li-4gtv-4gtv039/index.m3u8?proxy=true
八大精彩台,http://nmk.ioapk.com:5050/4gtv-4gtv034/index.m3u8?proxy=true
八大精彩台,http://nmk.ioapk.com:5050/li-4gtv-4gtv034/index.m3u8?proxy=true
TVBS綜藝台,http://nmk.ioapk.com:5050/4gtv-live087/index.m3u8?proxy=true
TVBS歡樂台,http://nmk.ioapk.com:5050/4gtv-4gtv068/index.m3u8?proxy=true
TVBS歡樂台,http://nmk.ioapk.com:5050/li-4gtv-4gtv068/index.m3u8?proxy=true
TVBS精采台,http://nmk.ioapk.com:5050/4gtv-4gtv067/index.m3u8?proxy=true
TVBS精采台,http://nmk.ioapk.com:5050/li-4gtv-4gtv067/index.m3u8?proxy=true
愛爾達娛樂台,http://nmk.ioapk.com:5050/4gtv-4gtv070/index.m3u8?proxy=true
愛爾達娛樂台,http://nmk.ioapk.com:5050/li-4gtv-4gtv070/index.m3u8?proxy=true
豬哥亮歌廳秀,http://nmk.ioapk.com:5050/4gtv-4gtv006/index.m3u8?proxy=true
豬哥亮歌廳秀,http://nmk.ioapk.com:5050/li-4gtv-4gtv006/index.m3u8?proxy=true
TRACE Urban,http://nmk.ioapk.com:5050/4gtv-4gtv082/index.m3u8?proxy=true
TRACE Urban,http://nmk.ioapk.com:5050/li-4gtv-4gtv082/index.m3u8?proxy=true
Mezzo Live HD,http://nmk.ioapk.com:5050/4gtv-4gtv083/index.m3u8?proxy=true
Mezzo Live HD,http://nmk.ioapk.com:5050/li-4gtv-4gtv083/index.m3u8?proxy=true
CLASSICA 古典樂,http://nmk.ioapk.com:5050/4gtv-4gtv059/index.m3u8?proxy=true
CLASSICA 古典樂,http://nmk.ioapk.com:5050/li-4gtv-4gtv059/index.m3u8?proxy=true
CMusic 電影原聲台,http://nmk.ioapk.com:5050/4gtv-live031/index.m3u8?proxy=true
MTV Live HD 音樂頻道,http://nmk.ioapk.com:5050/4gtv-live025/index.m3u8?proxy=true

🔰生活旅遊,#genre#
民視旅遊台,http://nmk.ioapk.com:5050/litv-ftv07/index.m3u8?proxy=true
民視旅遊台,http://nmk.ioapk.com:5050/li-litv-ftv07/index.m3u8?proxy=true
亞洲旅遊台,http://nmk.ioapk.com:5050/4gtv-4gtv076/index.m3u8?proxy=true
亞洲旅遊台,http://nmk.ioapk.com:5050/li-4gtv-4gtv076/index.m3u8?proxy=true
亞洲旅遊台,http://nmk.ioapk.com:5050/of-4gtv-4gtv076/index.m3u8?proxy=true
Smart知識台,http://nmk.ioapk.com:5050/litv-longturn19/index.m3u8?proxy=true
Smart知識台,http://nmk.ioapk.com:5050/li-litv-longturn19/index.m3u8?proxy=true
rollor滾動力,http://nmk.ioapk.com:5050/4gtv-live012/index.m3u8?proxy=true
fun探索娛樂台,http://nmk.ioapk.com:5050/4gtv-live011/index.m3u8?proxy=true
幸福空間居家台,http://nmk.ioapk.com:5050/4gtv-live206/index.m3u8?proxy=true
愛爾達生活旅遊台,http://nmk.ioapk.com:5050/4gtv-live120/index.m3u8?proxy=true
INULTRA,http://nmk.ioapk.com:5050/4gtv-live096/index.m3u8?proxy=true
Pet Club TV,http://nmk.ioapk.com:5050/4gtv-live110/index.m3u8?proxy=true
Love Nature,http://nmk.ioapk.com:5050/4gtv-live208/index.m3u8?proxy=true
Global Trekker,http://nmk.ioapk.com:5050/4gtv-live112/index.m3u8?proxy=true
LUXE TV Channel,http://nmk.ioapk.com:5050/4gtv-live121/index.m3u8?proxy=true
Lifetime 娛樂頻道,http://nmk.ioapk.com:5050/4gtv-live029/index.m3u8?proxy=true
TV5MONDE STYLE HD 生活時尚,http://nmk.ioapk.com:5050/4gtv-live122/index.m3u8?proxy=true
MagellanTV頻道 (麥哲倫頻道),http://nmk.ioapk.com:5050/4gtv-live123/index.m3u8?proxy=true

🏰兒童卡通,#genre#
達文西頻道,http://nmk.ioapk.com:5050/4gtv-4gtv018/index.m3u8?proxy=true
達文西頻道,http://nmk.ioapk.com:5050/li-4gtv-4gtv018/index.m3u8?proxy=true
精選動漫台,http://nmk.ioapk.com:5050/4gtv-live024/index.m3u8?proxy=true
經典卡通台,http://nmk.ioapk.com:5050/4gtv-live022/index.m3u8?proxy=true
龍華卡通台,http://nmk.ioapk.com:5050/li-litv-longturn01/index.m3u8?proxy=true
龍華卡通台,http://nmk.ioapk.com:5050/litv-longturn01/index.m3u8?proxy=true
靖天卡通台,http://nmk.ioapk.com:5050/4gtv-4gtv044/index.m3u8?proxy=true
靖天卡通台,http://nmk.ioapk.com:5050/li-4gtv-4gtv044/index.m3u8?proxy=true
靖洋卡通Nice Bingo,http://nmk.ioapk.com:5050/4gtv-4gtv057/index.m3u8?proxy=true
靖洋卡通Nice Bingo,http://nmk.ioapk.com:5050/li-4gtv-4gtv057/index.m3u8?proxy=true
MOMO親子台,http://nmk.ioapk.com:5050/4gtv-live107/index.m3u8?proxy=true
ELTV生活英語台,http://nmk.ioapk.com:5050/litv-longturn20/index.m3u8?proxy=true
ELTV生活英語台,http://nmk.ioapk.com:5050/li-litv-longturn20/index.m3u8?proxy=true
ELTV生活英語台,http://nmk.ioapk.com:5050/of-litv-longturn20/index.m3u8?proxy=true
Nick Jr.兒童頻道,http://nmk.ioapk.com:5050/4gtv-live032/index.m3u8?proxy=true
Nick Elodeon兒童頻道,http://nmk.ioapk.com:5050/4gtv-live105/index.m3u8?proxy=true
DreamWorks 夢工廠動畫,http://nmk.ioapk.com:5050/4gtv-live017/index.m3u8?proxy=true
LiveABC互動英語頻道,http://nmk.ioapk.com:5050/4gtv-live030/index.m3u8?proxy=true

📡新聞財經,#genre#
中天新聞台,http://nmk.ioapk.com:5050/4gtv-4gtv009/index.m3u8?proxy=true
中天新聞台,http://nmk.ioapk.com:5050/li-4gtv-4gtv009/index.m3u8?proxy=true
中天新聞台,http://nmk.ioapk.com:5050/of-4gtv-4gtv009/index.m3u8?proxy=true
中視新聞台,http://nmk.ioapk.com:5050/4gtv-4gtv074/index.m3u8?proxy=true
中視新聞台,http://nmk.ioapk.com:5050/li-4gtv-4gtv074/index.m3u8?proxy=true
中視新聞台,http://nmk.ioapk.com:5050/of-4gtv-4gtv074/index.m3u8?proxy=true
華視新聞台,http://nmk.ioapk.com:5050/4gtv-4gtv052/index.m3u8?proxy=true
華視新聞台,http://nmk.ioapk.com:5050/li-4gtv-4gtv052/index.m3u8?proxy=true
華視新聞台,http://nmk.ioapk.com:5050/of-4gtv-4gtv052/index.m3u8?proxy=true
台視新聞台,http://nmk.ioapk.com:5050/li-4gtv-4gtv051/index.m3u8?proxy=true
台視新聞台,http://nmk.ioapk.com:5050/4gtv-4gtv051/index.m3u8?proxy=true
台視財經台,http://nmk.ioapk.com:5050/4gtv-4gtv056/index.m3u8?proxy=true
民視新聞台,http://nmk.ioapk.com:5050/litv-ftv13/index.m3u8?proxy=true
民視新聞台,http://nmk.ioapk.com:5050/li-litv-ftv13/index.m3u8?proxy=true
非凡新聞台,http://nmk.ioapk.com:5050/4gtv-4gtv010/index.m3u8?proxy=true
非凡商業台,http://nmk.ioapk.com:5050/4gtv-4gtv048/index.m3u8?proxy=true
東森新聞台,http://nmk.ioapk.com:5050/4gtv-4gtv152/index.m3u8?proxy=true
東森新聞台,http://nmk.ioapk.com:5050/li-4gtv-4gtv152/index.m3u8?proxy=true
寰宇新聞台,http://nmk.ioapk.com:5050/litv-longturn14/index.m3u8?proxy=true
寰宇新聞台,http://nmk.ioapk.com:5050/li-litv-longturn14/index.m3u8?proxy=true
寰宇新聞台,http://nmk.ioapk.com:5050/of-litv-longturn14/index.m3u8?proxy=true
寰宇財經台,http://nmk.ioapk.com:5050/4gtv-4gtv158/index.m3u8?proxy=true
寰宇財經台,http://nmk.ioapk.com:5050/li-4gtv-4gtv158/index.m3u8?proxy=true
寰宇財經台,http://nmk.ioapk.com:5050/of-4gtv-4gtv158/index.m3u8?proxy=true
寰宇新聞台灣台,http://nmk.ioapk.com:5050/4gtv-4gtv156/index.m3u8?proxy=true
寰宇新聞台灣台,http://nmk.ioapk.com:5050/li-4gtv-4gtv156/index.m3u8?proxy=true
寰宇新聞台灣台,http://nmk.ioapk.com:5050/of-4gtv-4gtv156/index.m3u8?proxy=true
三立新聞iNEWS,http://nmk.ioapk.com:5050/4gtv-live089/index.m3u8?proxy=true
三立新聞iNEWS,http://nmk.ioapk.com:5050/iNEWS/index.m3u8?proxy=true
鏡電視新聞台,http://nmk.ioapk.com:5050/4gtv-4gtv075/index.m3u8?proxy=true
鏡電視新聞台,http://nmk.ioapk.com:5050/li-4gtv-4gtv075/index.m3u8?proxy=true
東森財經新聞台,http://nmk.ioapk.com:5050/4gtv-4gtv153/index.m3u8?proxy=true
東森財經新聞台,http://nmk.ioapk.com:5050/li-4gtv-4gtv153/index.m3u8?proxy=true
半島國際新聞台,http://nmk.ioapk.com:5050/litv-ftv10/index.m3u8?proxy=true
半島國際新聞台,http://nmk.ioapk.com:5050/li-litv-ftv10/index.m3u8?proxy=true
TVBS HD,http://nmk.ioapk.com:5050/4gtv-4gtv073/index.m3u8?proxy=true
TVBS HD,http://nmk.ioapk.com:5050/li-4gtv-4gtv073/index.m3u8?proxy=true
TVBS 新聞,http://nmk.ioapk.com:5050/li-4gtv-4gtv072/index.m3u8?proxy=true
第1商業台,http://nmk.ioapk.com:5050/4gtv-4gtv104/index.m3u8?proxy=true
第1商業台,http://nmk.ioapk.com:5050/li-4gtv-4gtv104/index.m3u8?proxy=true
倪珍報氣象,http://nmk.ioapk.com:5050/nnews-wf/index.m3u8?proxy=true
倪珍播新聞,http://nmk.ioapk.com:5050/nnews-zh/index.m3u8?proxy=true
倪珍越語新聞,http://nmk.ioapk.com:5050/nnews-vn/index.m3u8?proxy=true
DW德國之聲,http://nmk.ioapk.com:5050/4gtv-live071/index.m3u8?proxy=true
VOA美國之音,http://nmk.ioapk.com:5050/litv-ftv03/index.m3u8?proxy=true
VOA美國之音,http://nmk.ioapk.com:5050/li-litv-ftv03/index.m3u8?proxy=true
Bloomberg TV,http://nmk.ioapk.com:5050/4gtv-live059/index.m3u8?proxy=true
SBN全球財經台,http://nmk.ioapk.com:5050/4gtv-live060/index.m3u8?proxy=true
FRANCE24英文台,http://nmk.ioapk.com:5050/4gtv-live146/index.m3u8?proxy=true
CNBC Asia 財經台,http://nmk.ioapk.com:5050/4gtv-live130/index.m3u8?proxy=true

⚽體育競技,#genre#
車迷TV,http://nmk.ioapk.com:5050/4gtv-live201/index.m3u8?proxy=true
時尚運動X,http://nmk.ioapk.com:5050/4gtv-4gtv014/index.m3u8?proxy=true
時尚運動X,http://nmk.ioapk.com:5050/li-4gtv-4gtv014/index.m3u8?proxy=true
智林體育台,http://nmk.ioapk.com:5050/4gtv-4gtv101/index.m3u8?proxy=true
智林體育台,http://nmk.ioapk.com:5050/li-4gtv-4gtv101/index.m3u8?proxy=true
博斯魅力台,http://nmk.ioapk.com:5050/litv-longturn04/index.m3u8?proxy=true
博斯網球台,http://nmk.ioapk.com:5050/litv-longturn09/index.m3u8?proxy=true
博斯高球一台,http://nmk.ioapk.com:5050/litv-longturn05/index.m3u8?proxy=true
博斯高球二台,http://nmk.ioapk.com:5050/litv-longturn06/index.m3u8?proxy=true
博斯運動一台,http://nmk.ioapk.com:5050/litv-longturn07/index.m3u8?proxy=true
博斯運動二台,http://nmk.ioapk.com:5050/litv-longturn08/index.m3u8?proxy=true
博斯無限一台,http://nmk.ioapk.com:5050/litv-longturn10/index.m3u8?proxy=true
博斯無限二台,http://nmk.ioapk.com:5050/litv-longturn13/index.m3u8?proxy=true
Ginx TV 電競頻道,http://nmk.ioapk.com:5050/4gtv-4gtv053/index.m3u8?proxy=true
Ginx TV 電競頻道,http://nmk.ioapk.com:5050/li-4gtv-4gtv053/index.m3u8?proxy=true
TRACE Sport Stars,http://nmk.ioapk.com:5050/4gtv-4gtv077/index.m3u8?proxy=true
TRACE Sport Stars,http://nmk.ioapk.com:5050/li-4gtv-4gtv077/index.m3u8?proxy=true

🎏紀實探索,#genre#
影迷數位紀實台,http://nmk.ioapk.com:5050/litv-ftv15/index.m3u8?proxy=true
影迷數位紀實台,http://nmk.ioapk.com:5050/li-litv-ftv15/index.m3u8?proxy=true
視納華仁紀實頻道,http://nmk.ioapk.com:5050/4gtv-4gtv013/index.m3u8?proxy=true
視納華仁紀實頻道,http://nmk.ioapk.com:5050/li-4gtv-4gtv013/index.m3u8?proxy=true
CI 罪案偵查頻道,http://nmk.ioapk.com:5050/4gtv-live027/index.m3u8?proxy=true
History 歷史頻道,http://nmk.ioapk.com:5050/4gtv-live026/index.m3u8?proxy=true

📺歐飛點播,#genre#
三國,http://nmk.ioapk.com:5050/ofiii103/index.m3u8?proxy=true
扶搖,http://nmk.ioapk.com:5050/ofiii102/index.m3u8?proxy=true
獵狐,http://nmk.ioapk.com:5050/ofiii120/index.m3u8?proxy=true
司藤,http://nmk.ioapk.com:5050/ofiii123/index.m3u8?proxy=true
茶金,http://nmk.ioapk.com:5050/ofiii155/index.m3u8?proxy=true
苦力,http://nmk.ioapk.com:5050/ofiii156/index.m3u8?proxy=true
戰神,http://nmk.ioapk.com:5050/ofiii197/index.m3u8?proxy=true
琅琊榜,http://nmk.ioapk.com:5050/ofiii101/index.m3u8?proxy=true
長樂曲,http://nmk.ioapk.com:5050/ofiii105/index.m3u8?proxy=true
楚喬傳,http://nmk.ioapk.com:5050/ofiii110/index.m3u8?proxy=true
九重紫,http://nmk.ioapk.com:5050/ofiii114/index.m3u8?proxy=true
膽大黨,http://nmk.ioapk.com:5050/ofiii183/index.m3u8?proxy=true
步步驚心,http://nmk.ioapk.com:5050/ofiii113/index.m3u8?proxy=true
不良笑花,http://nmk.ioapk.com:5050/ofiii196/index.m3u8?proxy=true
第一神拳,http://nmk.ioapk.com:5050/ofiii163/index.m3u8?proxy=true
看板人物,http://nmk.ioapk.com:5050/ofiii138/index.m3u8?proxy=true
狂人日誌,http://nmk.ioapk.com:5050/ofiii217/index.m3u8?proxy=true
法眼黑與白,http://nmk.ioapk.com:5050/ofiii134/index.m3u8?proxy=true
電動車時代,http://nmk.ioapk.com:5050/ofiii215/index.m3u8?proxy=true
豬哥壹級棒,http://nmk.ioapk.com:5050/ofiii126/index.m3u8?proxy=true
綜藝玩很大,http://nmk.ioapk.com:5050/ofiii130/index.m3u8?proxy=true
天才衝衝衝,http://nmk.ioapk.com:5050/ofiii135/index.m3u8?proxy=true
女人我最大,http://nmk.ioapk.com:5050/ofiii137/index.m3u8?proxy=true
公視金獎台,http://nmk.ioapk.com:5050/ofiii13/index.m3u8?proxy=true
東森娛樂台,http://nmk.ioapk.com:5050/ofiii32/index.m3u8?proxy=true
寰宇全視界,http://nmk.ioapk.com:5050/ofiii204/index.m3u8?proxy=true
新聞大白話,http://nmk.ioapk.com:5050/ofiii202/index.m3u8?proxy=true
環球大戰線,http://nmk.ioapk.com:5050/ofiii206/index.m3u8?proxy=true
少康戰情室,http://nmk.ioapk.com:5050/ofiii207/index.m3u8?proxy=true
非凡大探索,http://nmk.ioapk.com:5050/ofiii234/index.m3u8?proxy=true
大新聞大爆卦,http://nmk.ioapk.com:5050/ofiii201/index.m3u8?proxy=true
闽南國民大會,http://nmk.ioapk.com:5050/ofiii208/index.m3u8?proxy=true
文茜的世界周報,http://nmk.ioapk.com:5050/ofiii203/index.m3u8?proxy=true
文茜的世界財經周報,http://nmk.ioapk.com:5050/ofiii205/index.m3u8?proxy=true
包青天 1993,http://nmk.ioapk.com:5050/ofiii151/index.m3u8?proxy=true
倚天屠龍記 2019,http://nmk.ioapk.com:5050/ofiii111/index.m3u8?proxy=true
東宮(完整版),http://nmk.ioapk.com:5050/ofiii108/index.m3u8?proxy=true
獵人(中文版),http://nmk.ioapk.com:5050/ofiii167/index.m3u8?proxy=true
爆漫王(中文版),http://nmk.ioapk.com:5050/ofiii181/index.m3u8?proxy=true
烘焙王(中文版),http://nmk.ioapk.com:5050/ofiii176/index.m3u8?proxy=true
刀劍神域(中文版),http://nmk.ioapk.com:5050/ofiii164/index.m3u8?proxy=true
隊長小翼(中文版),http://nmk.ioapk.com:5050/ofiii169/index.m3u8?proxy=true
脖子解說 Mr. Neck,http://nmk.ioapk.com:5050/ofiii218/index.m3u8?proxy=true
